provinsi,kabupaten_kota,kecamatan,desa_kelurahan
ACEH,KAB. ACEH SELATAN,Bakongan,Keude Bakongan
ACEH,KAB. ACEH SELATAN,Bakongan,Ujong Mangki
ACEH,KAB. ACEH SELATAN,Bakongan,Ujong Padang
ACEH,KAB. ACEH SELATAN,Bakongan,Gampong Drien
ACEH,KAB. ACEH SELATAN,Bakongan,Darul Ikhsan
ACEH,KAB. ACEH SELATAN,Bakongan,Padang Beurahan
ACEH,KAB. ACEH SELATAN,Bakongan,Gampong Baro
ACEH,KAB. ACEH SELATAN,Kluet Utara,Fajar Harapan
ACEH,KAB. ACEH SELATAN,Kluet Utara,Krueng Batee
ACEH,KAB. ACEH SELATAN,Kluet Utara,Pasi Kuala Asahan
ACEH,KAB. ACEH SELATAN,Kluet Utara,Gunong Pulo
ACEH,KAB. ACEH SELATAN,Kluet Utara,Pulo Ie I
ACEH,KAB. ACEH SELATAN,Kluet Utara,Jambo Manyang
ACEH,KAB. ACEH SELATAN,Kluet Utara,Simpang Empat
ACEH,KAB. ACEH SELATAN,Kluet Utara,Limau Purut
ACEH,KAB. ACEH SELATAN,Kluet Utara,Pulo Kambing
ACEH,KAB. ACEH SELATAN,Kluet Utara,Kampung Paya
ACEH,KAB. ACEH SELATAN,Kluet Utara,Krueng Batu
ACEH,KAB. ACEH SELATAN,Kluet Utara,Krueng Kluet
ACEH,KAB. ACEH SELATAN,Kluet Utara,Alur Mas
ACEH,KAB. ACEH SELATAN,Kluet Utara,Kampung Tinggi
ACEH,KAB. ACEH SELATAN,Kluet Utara,Ruak
ACEH,KAB. ACEH SELATAN,Kluet Utara,Simpang Lhee
ACEH,KAB. ACEH SELATAN,Kluet Utara,Suaq Geuringgeng
ACEH,KAB. ACEH SELATAN,Kluet Utara,Pasi Kuala Ba'u
ACEH,KAB. ACEH SELATAN,Kluet Utara,Kedai Padang
ACEH,KAB. ACEH SELATAN,Kluet Utara,Kotafajar
ACEH,KAB. ACEH SELATAN,Kluet Utara,Gunung Pudung
ACEH,KAB. ACEH SELATAN,Kluet Selatan,Suaq Bakung
ACEH,KAB. ACEH SELATAN,Kluet Selatan,Rantau Binuang
ACEH,KAB. ACEH SELATAN,Kluet Selatan,Barat Daya
ACEH,KAB. ACEH SELATAN,Kluet Selatan,Sialang
ACEH,KAB. ACEH SELATAN,Kluet Selatan,Kapeh
ACEH,KAB. ACEH SELATAN,Kluet Selatan,Pulo Ie
ACEH,KAB. ACEH SELATAN,Kluet Selatan,Kedai Runding
ACEH,KAB. ACEH SELATAN,Kluet Selatan,Kedai Kandang
ACEH,KAB. ACEH SELATAN,Kluet Selatan,Gampong Luar
ACEH,KAB. ACEH SELATAN,Kluet Selatan,Ujung
ACEH,KAB. ACEH SELATAN,Kluet Selatan,Jua
ACEH,KAB. ACEH SELATAN,Kluet Selatan,Pasi Meurapat
ACEH,KAB. ACEH SELATAN,Kluet Selatan,Ujung Pasir
ACEH,KAB. ACEH SELATAN,Kluet Selatan,Geulumbuk
ACEH,KAB. ACEH SELATAN,Kluet Selatan,Pasie Lembang
ACEH,KAB. ACEH SELATAN,Kluet Selatan,Ujung Padang
ACEH,KAB. ACEH SELATAN,Kluet Selatan,Indra Damai
ACEH,KAB. ACEH SELATAN,Labuhanhaji,Bakau Hulu
ACEH,KAB. ACEH SELATAN,Labuhanhaji,Padang Bakau
ACEH,KAB. ACEH SELATAN,Labuhanhaji,Manggis Harapan
ACEH,KAB. ACEH SELATAN,Labuhanhaji,Pasar Lama
